course_num,venue_name,architect_school,course_style,rough_severity,notes,n_rounds,sufficient_sample,weight_ott,weight_app,weight_arg,weight_putt,weight_source,lat,lon
4,Torrey Pines GC (South),RTJ,parkland,medium,NA,4876,TRUE,0.1817869287473798,0.25958756844601255,0.2574379478831432,0.30118755492346444,empirical,45.2693703,-75.9208006
5,Pebble Beach GL,Links,coastal,medium,NA,3580,TRUE,0.20157355991540804,0.2759204171848612,0.26193176832789694,0.26057425457183375,empirical,36.5696646,-121.9497413
6,Waialae CC,Modern,parkland,low,NA,6955,TRUE,0.27456794965675546,0.22998621548794643,0.21957920853396343,0.27586662632133463,empirical,21.274543,-157.7707646
8,TPC Blue Monster at Doral,RTJ,parkland,medium,NA,1913,TRUE,0.24801685795324868,0.280398065,0.25046003018164853,0.2211250463946829,empirical,25.8195424,-80.3553302
9,Bay Hill Club & Lodge,Modern,parkland,medium,NA,5939,TRUE,0.2658385467152083,0.25898170087624006,0.24396714059407443,0.23121261181447728,empirical,34.0559667,131.14485
11,TPC Sawgrass,Dye,parkland,high,NA,6664,TRUE,0.2794496039467456,0.2692627190664852,0.22918891060947655,0.22209876637729273,empirical,30.1960044,-81.3937539
12,Harbour Town GL,Dye,coastal,medium,NA,6393,TRUE,0.24823374234148363,0.2692470253231798,0.25036015675141354,0.23215907558392304,empirical,32.1307456,-80.8107889
14,Augusta National GC,MacKenzie,parkland,low,NA,1436,TRUE,0.24992099398538808,0.2408082121337597,0.29282882690443524,0.21644196697641696,empirical,33.500558,-82.0225816
19,TPC Four Seasons Resort,Modern,resort,low,NA,3386,TRUE,0.3287875032319512,0.21294159950710148,0.2226279611092291,0.23564293615171816,empirical,32.864,-96.958
21,Colonial CC,RTJ,tree-lined,medium,NA,6343,TRUE,0.2158191593041748,0.2888119466706621,0.2346161117646933,0.2607527822604697,empirical,32.7192029,-97.3719937
23,Muirfield Village GC,Nicklaus,parkland,medium,NA,5881,TRUE,0.20739174408978756,0.2859872986907801,0.27097280600613005,0.2356481512133023,empirical,40.1442555,-83.1500922
24,Congressional CC (Blue),Modern,parkland,high,NA,1504,TRUE,0.1995896272593121,0.2750172523579742,0.2546900243987504,0.2707030959839634,empirical,38.994383,-77.178438
32,Glen Abbey GC,Nicklaus,parkland,medium,NA,2331,TRUE,0.2552703025589946,0.2713604012487361,0.24824625891333177,0.2251230372789377,empirical,28.897236,-81.2983038
36,Firestone CC (South),RTJ,parkland,medium,NA,2650,TRUE,0.2282491053855008,0.2543709089050285,0.24664607019606588,0.2707339155134049,empirical,41.0077765,-81.5110396
43,The Los Angeles Country Club (North Course),Thomas,parkland,medium,NA,442,TRUE,0.2308937803144704,0.25690659703574104,0.25798539964079653,0.25421422300899216,empirical,34.0676659,-118.422386
100,Chambers Bay GC 2,RTJ,links,penal,NA,NA,NA,0.29885927304400506,0.21055779044857792,0.2649894310775868,0.2255935054298302,style_only (n=6),47.2004,-122.5706
104,Torrey Pines (North),RTJ,parkland,medium,NA,NA,NA,0.20150378577348463,0.2800936628684028,0.24811221054459412,0.27029034081351844,style_x_school (n=7),32.9045,-117.2454
202,La Quinta CC,Modern,desert,low,NA,NA,NA,0.2946703388541747,0.23969605597258203,0.20924266298688288,0.25639094218636044,style_x_school (n=2),33.6898791,-116.3041035
205,Spyglass Hill GC,Links,coastal,medium,NA,80,TRUE,0.16719885603369233,0.29800790036269853,0.2816157583972238,0.25317748520638533,empirical,37.3861011,-77.662586
231,Sea Island Resort (Plantation),Modern,coastal,low,NA,NA,NA,0.23637857763066725,0.24027105504486956,0.2277373368215992,0.2956130305028639,style_x_school (n=3),15.6794153,39.9544788
232,Albany,Modern,resort,low,NA,240,TRUE,0.2791852009356231,0.17824779242527566,0.3599990632580193,0.182567943,empirical,44.6438567,-123.1017824
233,Nicklaus Tournament Course,Nicklaus,desert,low,NA,NA,NA,0.26564755211389196,0.24955787862998968,0.2314587796801652,0.25333578957595315,style_only (n=6),33.6459,-116.253
235,Eagle Point Golf Club,Modern,coastal,medium,NA,461,TRUE,0.18467301499689268,0.24042326675925296,0.2767643851550631,0.2981393330887912,empirical,34.284193,-77.754843
236,Erin Hills,Modern,links,penal,NA,NA,NA,0.29885927304400506,0.21055779044857792,0.2649894310775868,0.2255935054298302,style_only (n=6),43.2449514,-88.4018099
237,TPC Potomac at Avenel Farm,Dye,parkland,medium,NA,1208,TRUE,0.3363421618600096,0.24945828730931832,0.21511819452519296,0.19908135630547913,empirical,40.5783938,-74.2517039
238,Glen Oaks Club,Modern,parkland,high,NA,379,TRUE,0.1920293386411598,0.2385079060228042,0.2799306588091213,0.28953209652691475,empirical,40.792629,-73.5813933
240,Club de Golf Chapultepec,Modern,parkland,medium,NA,1135,TRUE,0.27615824393768373,0.2412196010737173,0.2293066185997437,0.25331553638885534,empirical,19.4347481,-99.2379838
241,Quail Hollow-PGA Championship,Fazio,parkland,high,NA,918,TRUE,0.26564941474110665,0.22756726398455357,0.2862636118102975,0.2205197094640423,empirical,36.0979147,-80.1130994
242,Nine Bridges,Modern,resort,medium,NA,NA,NA,0.279647874,0.23847171869132325,0.24046580323987057,0.2414146042622692,style_x_school (n=9),52.65012,-0.30125999999999997
243,Trinity Forest Golf Club,Modern,parkland,medium,NA,922,TRUE,0.24868614392723415,0.21701741236864283,0.22558362670706192,0.308712817,empirical,32.7083262,-96.7185025
244,Corales Golf Club,Modern,coastal,low,NA,NA,NA,0.23637857763066725,0.24027105504486956,0.2277373368215992,0.2956130305028639,style_x_school (n=3),18.565285,-68.3424819
250,Le Golf National,Modern,parkland,high,NA,238,TRUE,0.2362941385388772,0.3193870783607477,0.19864171798344687,0.2456770651169282,empirical,48.7515589,2.0765023
348,Medinah Country Club (No. 3),Modern,parkland,high,NA,276,TRUE,0.1830580853325431,0.288794789,0.2459461224572372,0.28220100294903966,empirical,41.9654003,-88.0447771
379,The Philadelphia Cricket Club (Wissahickon Course),Tillinghast,parkland,high,NA,283,TRUE,0.2264621046322722,0.2469390128030114,0.219388577,0.3072103056038175,empirical,40.0646326,-75.2089211
406,Castle Pines Golf Club,Modern,parkland,medium,NA,195,TRUE,0.3244144832421821,0.26121463763988523,0.19934202454765357,0.2150288545702792,empirical,39.4490851,-104.9029587
500,Riviera CC,Thomas,parkland,medium,NA,6097,TRUE,0.19301729916973037,0.2171517657027385,0.3213004976377576,0.2685304374897735,empirical,34.0451645,-118.5024932
503,TPC River Highlands,Dye,parkland,medium,NA,6990,TRUE,0.2912631368694947,0.21928372280986447,0.240058586,0.2493945538903809,empirical,41.6293852,-72.6390605
505,Cherry Hills CC,Ross,parkland,penal,NA,269,TRUE,0.2329286391025228,0.2805167852229185,0.25305803251552894,0.23349654315902976,empirical,39.6433744,-104.966535
510,TPC Scottsdale,Dye,desert,low,NA,6544,TRUE,0.3120803800254494,0.20080809652325665,0.23577410737700488,0.2513374160742891,empirical,33.6401402,-111.9156552
513,TPC Southwind,Modern,parkland,medium,NA,6160,TRUE,0.2665549383269894,0.27740541943868563,0.22454175243432253,0.2314978898000024,empirical,35.0545946,-89.7857855
514,Oak Hill Country Club,Ross,parkland,penal,NA,464,TRUE,0.3168161502901676,0.2137971913254993,0.24897685716952744,0.2204098012148057,empirical,43.1130973,-77.5326063
526,Cog Hill G&CC,Dye,parkland,medium,NA,558,TRUE,0.22216453091080585,0.255403467,0.26392127666352183,0.2585107253911343,empirical,41.676396,-87.9564454
527,Crooked Stick GC,Dye,parkland,medium,NA,555,TRUE,0.226613744,0.26471322957600113,0.25509017509661225,0.25358285174133166,empirical,39.9485129,-86.1937801
528,Pinehurst Resort & Country Club (Course No. 2),Ross,parkland,high,NA,460,TRUE,0.18006888237982063,0.17362053177554598,0.40451788212118456,0.24179270372344883,empirical,35.1904,-79.4678
534,Bellerive CC,Modern,parkland,medium,NA,471,TRUE,0.24234877183883705,0.2789101913195834,0.22944506091804487,0.24929597592353475,empirical,38.6628245,-90.4836931
538,TPC Summerlin,Dye,desert,low,NA,6314,TRUE,0.23101118005027024,0.2493759894159551,0.2531307501671187,0.2664820803666559,empirical,36.1881368,-115.2945415
539,Royal Lytham St. Anne,Links,links,high,NA,NA,NA,0.32012200286535436,0.20772731757215265,0.24572068870171457,0.22642999086077845,style_x_school (n=5),53.7495921,-3.0178167
541,Royal Birkdale GC,Links,links,high,NA,NA,NA,0.32012200286535436,0.20772731757215265,0.24572068870171457,0.22642999086077845,style_x_school (n=5),53.621691,-3.0325034
542,Muirfield,Links,links,high,NA,NA,NA,0.32012200286535436,0.20772731757215265,0.24572068870171457,0.22642999086077845,style_x_school (n=5),40.1442555,-83.1500922
552,Silverado Resort and Spa North,Modern,resort,low,NA,3977,TRUE,0.24190788720212156,0.2337657859951486,0.25269079525231974,0.27163553155041015,empirical,33.7461295,-117.6369939
555,Merion GC,Modern,parkland,penal,NA,NA,NA,0.2536562569282284,0.2540476405294401,0.2393820442182665,0.252914058,style_x_school (n=43),42.4017309,-83.5020608
558,Oak Hill CC,Ross,parkland,penal,NA,NA,NA,0.24020579070924045,0.2284374551608603,0.2628901990533955,0.2684665550765037,style_x_school (n=6),43.1130973,-77.5326063
608,Oakmont Country Club,Modern,parkland,penal,NA,444,TRUE,0.30218374155620664,0.2026578159928668,0.2986123214205385,0.19654612103038807,empirical,40.5289164,-79.8260486
609,Annandale GC,Modern,parkland,medium,NA,1619,TRUE,0.2554069746768719,0.277511617,0.20416371603837044,0.2629176927050447,empirical,32.493933,-90.195387
611,Southern Hills Country Club,Tillinghast,parkland,penal,NA,469,TRUE,0.21832932649832493,0.24982743779302585,0.29317408216999574,0.23866915353865348,empirical,36.0728132,-95.949738
616,Robert Trent Jones GC,RTJ,parkland,medium,NA,390,TRUE,0.19769168452526575,0.3080521163860696,0.19969705932571297,0.29455913976295167,empirical,38.7792826,-77.6335629
618,Shinnecock Hills GC,Tillinghast,links,penal,NA,NA,NA,0.29885927304400506,0.21055779044857792,0.2649894310775868,0.2255935054298302,style_only (n=6),40.8941028,-72.4397956
642,Royal Montreal GC (Blue),Modern,parkland,medium,NA,455,TRUE,0.2286599919300238,0.2683793197917464,0.25297224304711385,0.24998844523111596,empirical,45.4943624,-73.9050821
649,PGA West (Palmer),Palmer,desert,low,NA,1173,TRUE,0.21925989161724513,0.26847632801764204,0.24352109400256408,0.2687426863625488,empirical,33.6492206,-116.269535
651,The Olympic Club,Modern,parkland,high,NA,NA,NA,0.2536562569282284,0.2540476405294401,0.2393820442182665,0.252914058,style_x_school (n=43),37.7882546,-122.4109978
654,The Country Club,Modern,parkland,high,NA,440,TRUE,0.1524470109230529,0.26520398385335747,0.33526906670734047,0.24707993851624913,empirical,42.3134976,-71.1501556
656,Plantation Course at Kapalua,Modern,resort,low,NA,2296,TRUE,0.2848774599423848,0.23561827691573545,0.2064252585968279,0.27307900454505185,empirical,21.0008534,-156.663155
658,Carnoustie GC,Links,links,penal,NA,NA,NA,0.32012200286535436,0.20772731757215265,0.24572068870171457,0.22642999086077845,style_x_school (n=5),49.2624431,-122.7341055
660,Montreux Golf & Country Club,Modern,resort,medium,NA,402,TRUE,0.30110032388323793,0.2844424137675807,0.1981928132802805,0.21626444906890083,empirical,39.364,-119.8282
665,Innisbrook Resort (Copperhead),Modern,parkland,high,NA,6602,TRUE,0.2153848138568056,0.2555703262840399,0.2653418233534004,0.26370303650575405,empirical,28.1149291,-82.7510341
666,Pebble Beach GL,Links,coastal,medium,NA,470,TRUE,0.1563052405074615,0.2595874475254018,0.3610392660355557,0.2230680459315809,empirical,36.5696646,-121.9497413
668,St. Andrews GC (Old Course),Links,links,medium,NA,478,TRUE,0.35583515708237984,0.13971376580896389,0.22026505551201625,0.284186022,empirical,56.3426815,-2.8035281
669,TPC Deere Run,Modern,parkland,medium,NA,6813,TRUE,0.24285442849022923,0.26348626260152036,0.2251896839715335,0.268469625,empirical,41.4766909,-90.3921581
671,Valhalla Golf Club,Nicklaus,parkland,medium,NA,918,TRUE,0.2419615717670601,0.2656037659489865,0.2629716392235871,0.22946302306036617,empirical,38.242317,-85.4706879
688,East Lake GC,Tillinghast,parkland,medium,NA,1779,TRUE,0.22981911736884664,0.25961489964784384,0.24100563225436944,0.26956035072894013,empirical,33.7436053,-84.3024566
689,Bethpage State Park (Black),Tillinghast,parkland,penal,NA,788,TRUE,0.19462156912950343,0.26975745980341453,0.24955768704671377,0.2860632840203683,empirical,40.7484602,-73.4612816
694,Hamilton G&CC,Modern,parkland,medium,NA,469,TRUE,0.2263049619637548,0.2253266048549187,0.24489218124668816,0.30347625193463834,empirical,43.2164956,-79.9738767
697,Ocean Course at Kiawah Island,Dye,coastal,high,NA,472,TRUE,0.2546469541914407,0.23708541863917112,0.32576898116902286,0.18249864600036544,empirical,32.6174674,-80.0195337
698,Quail Hollow Club,Fazio,parkland,high,NA,3238,TRUE,0.2811803399183221,0.225513892,0.2381613474848088,0.25514442031619616,empirical,35.114081,-80.841676
700,TPC Boston,Modern,parkland,medium,NA,3489,TRUE,0.2017214150258424,0.28226014817480827,0.2573320577646366,0.25868637903471275,empirical,41.9788023,-71.2205857
704,Stadium Course,Dye,desert,low,NA,2292,TRUE,0.2421931832820377,0.2992947458779202,0.23784140056053776,0.22067067027950435,empirical,33.6494606,-116.2641818
706,Whistling Straits,Dye,links,penal,NA,464,TRUE,0.19254562393725863,0.22471015483070436,0.361333143,0.22141107827508896,empirical,43.8498725,-87.7346441
709,Royal Troon GC,Links,links,high,NA,470,TRUE,0.35925871357138606,0.2306761038126508,0.23973216206741735,0.17033302054854568,empirical,55.5327164,-4.6507652
714,TPC Louisiana,Dye,parkland,medium,NA,924,TRUE,0.2587100266827021,0.2285511558091701,0.29105913751032625,0.22167967999780172,empirical,29.902,-90.19
715,Baltusrol GC,Tillinghast,parkland,penal,NA,484,TRUE,0.2539630589965977,0.27628934267273847,0.20507387549868125,0.2646737228319825,empirical,40.7048611,-74.3281116
716,Shaughnessy G&CC,Modern,parkland,medium,NA,461,TRUE,0.2931519434960199,0.24084787216736975,0.2325448067867167,0.2334553775498935,empirical,49.244665,-123.233451
724,Royal Liverpool,Links,links,high,NA,464,TRUE,0.3129369817284813,0.2016906143538008,0.298540209,0.18683219513558996,empirical,51.4204626,-0.2837582
729,GC of Houston,Modern,parkland,medium,NA,4396,TRUE,0.3333441654257093,0.22945383998023683,0.2064659007705572,0.23073609382349675,empirical,29.9186508,-95.2591369
733,El Camaleon GC,Dye,resort,low,NA,NA,NA,0.277889004,0.23735259762081037,0.2468744488249373,0.23788394984737635,style_only (n=10),20.690163,-87.030985
734,PGA National (Champion),Fazio,parkland,high,NA,6058,TRUE,0.22783093271855387,0.2999308386989267,0.2358303428284441,0.23640788575407523,empirical,26.8248567,-80.1439492
741,Silver Rock,Modern,resort,low,NA,NA,NA,0.279647874,0.23847171869132325,0.24046580323987057,0.2414146042622692,style_x_school (n=9),33.6654177,-116.2811275
742,Trump International GC (PR),Modern,resort,low,NA,NA,NA,0.279647874,0.23847171869132325,0.24046580323987057,0.2414146042622692,style_x_school (n=9),26.6659418,-80.0990275
744,Torrey Pines (South),RTJ,parkland,medium,NA,452,TRUE,0.17607306386908048,0.2439766165443905,0.3152163818246445,0.26473393776188464,empirical,32.8968959,-117.2455316
745,Ridgewood CC,Tillinghast,parkland,high,NA,777,TRUE,0.2018941995569909,0.20901297588119855,0.2750589612456995,0.31403386331611094,empirical,31.5338771,-97.2201401
